Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
31;"LIIKENNE- JA VIESTINTÄMINISTERIÖN HALLINNONALA";01;"Hallinto ja toimialan yhteiset menot";29;"Liikenne- ja viestintäministeriön hallinnonalan arvonlisäveromenot";"";17500000;;;;;;377375000;380128490;402150521
31;"LIIKENNE- JA VIESTINTÄMINISTERIÖN HALLINNONALA";10;"Liikenneverkko";77;"Väyläverkon kehittäminen";"";0;;;;4699000;;343030000;358857000;472252000
31;"LIIKENNE- JA VIESTINTÄMINISTERIÖN HALLINNONALA";40;"Viestintäpalvelut ja -verkot sekä viestinnän tukeminen";01;"Viestintäviraston toimintamenot";"";150000;;;;-65000;;11524000;11894000;11045000
31;"LIIKENNE- JA VIESTINTÄMINISTERIÖN HALLINNONALA";40;"Viestintäpalvelut ja -verkot sekä viestinnän tukeminen";43;"Digitaalisten palveluiden toimintaympäristön kehittäminen";"";0;;;;;;;934000;
31;"LIIKENNE- JA VIESTINTÄMINISTERIÖN HALLINNONALA";50;"Tutkimus";01;"Ilmatieteen laitoksen toimintamenot";"";0;;;;-229000;;44352000;48928000;48896000
