Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
29;"OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA";01;"Hallinto, kirkollisasiat ja toimialan yhteiset menot";01;"Opetus- ja kulttuuriministeriön toimintamenot";"";714000;;;;-186000;;19203000;20852000;27776000
29;"OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA";10;"Yleissivistävä koulutus ja varhaiskasvatus";30;"Valtionosuus ja -avustus yleissivistävän koulutuksen käyttökustannuksiin";"";0;;;;;;724220000;701445833;829537328
29;"OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA";40;"Korkeakouluopetus ja tutkimus";20;"Korkeakoululaitoksen ja tieteen yhteiset menot";"";0;;;;;;53960000;48040000;41414000
29;"OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA";40;"Korkeakouluopetus ja tutkimus";66;"Rahoitusosuudet kansainvälisille järjestöille";"";-2227000;;;;;;20008000;19460778;17339644
29;"OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA";80;"Taide ja kulttuuri";01;"Taiteen edistämiskeskuksen toimintamenot";"";96000;;;;-23000;;4289000;4542000;4601000
29;"OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA";80;"Taide ja kulttuuri";75;"Toimitilojen ja kiinteistövarallisuuden perusparannukset ja kunnossapito";"";120000;;;;;;6899000;4099000;3800000
