Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";01;"Hallinto";02;"Elinkeino-, liikenne- ja ympäristökeskusten toimintamenot";"";225000;;;;-190000;;193120000;214435000;215135000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";01;"Hallinto";21;"Työ- ja elinkeinoministeriön hallinnonalan tuottavuusmääräraha";"";0;;;;1700000;;616000;538000;6019000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";01;"Hallinto";29;"Työ- ja elinkeinoministeriön hallinnonalan arvonlisäveromenot";"";3000000;;;;0;;30622000;92388027;130510832
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";01;"Hallinto";41;"Erityisavustus Teknologian tutkimuskeskus VTT Oy:n tutkimusinfrastruktuuriin";"";-2500000;;;;972000;;3500000;1102000;
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";40;"Tutkimus-, kehittämis- ja innovaatiotoiminnan tukeminen";"";5000000;;;;;;330370000;367194625;386295557
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";42;"Innovaatiokeskittymien kehittäminen";"";0;;;;;;7024000;9800000;10600000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";47;"Finnvera Oyj:n tappiokorvaukset";"";0;;;;;;56735000;90497129;53255061
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";30;"Työllisyys- ja yrittäjyyspolitiikka";01;"Työ- ja elinkeinotoimistojen toimintamenot";"";628000;;;;-1008000;;165117000;153486000;159626000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";50;"Alueiden kehittäminen ja rakennerahastopolitiikka";64;"EU:n ja valtion rahoitusosuus EU:n rakennerahasto-, ulkorajayhteistyö- ja muihin koheesiopolitiikan ohjelmiin";"";-20000000;;;;40000000;;242324000;344969639;433124274
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";60;"Energiapolitiikka";40;"Energiatuki";"";-16000000;;;;;;76402000;45931531;51178146
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";60;"Energiapolitiikka";41;"LNG-terminaalien investointituki";"";-18139000;;;;;;41750000;11720737;0
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";60;"Energiapolitiikka";44;"Uusiutuvan energian tuotantotuki";"";-15000000;;;;-25000000;;234600000;142398192;79643927
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";60;"Energiapolitiikka";87;"Osakehankinnat";"";28000000;;;;;;;2000000;
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";70;"Kotouttaminen";30;"Valtion korvaukset kunnille";"";-30000000;;;;;;162225000;96667044;106568835
