P‰‰luokan numero;P‰‰luokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;M‰‰r‰raha;Aiemmin budjetoitu V lis‰talousarvio 2016;Aiemmin budjetoitu IV lis‰talousarvio 2016;Aiemmin budjetoitu III lis‰talousarvio 2016;Aiemmin budjetoitu II lis‰talousarvio 2016;Aiemmin budjetoitu I lis‰talousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
27;"PUOLUSTUSMINISTERI÷N HALLINNONALA";10;"Sotilaallinen maanpuolustus";01;"Puolustusvoimien toimintamenot";"";0;;;;-17708000;;1917418000;1838940000;1863259000
27;"PUOLUSTUSMINISTERI÷N HALLINNONALA";10;"Sotilaallinen maanpuolustus";18;"Puolustusmateriaalihankinnat";"";0;;;;16882000;;542735000;469563000;427561000
27;"PUOLUSTUSMINISTERI÷N HALLINNONALA";30;"Sotilaallinen kriisinhallinta";20;"Sotilaallisen kriisinhallinnan kalusto- ja hallintomenot";"";0;;;;-796000;;36557000;47422000;57266000
27;"PUOLUSTUSMINISTERI÷N HALLINNONALA";30;"Sotilaallinen kriisinhallinta";95;"Kurssivaihtelut";"";26000;;;;;;10000;-134671;5950
