Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
26;"SISÄMINISTERIÖN HALLINNONALA";01;"Hallinto";01;"Sisäministeriön toimintamenot";"";-76000;;;;-134000;;14857000;16218000;21774000
26;"SISÄMINISTERIÖN HALLINNONALA";01;"Hallinto";29;"Sisäministeriön hallinnonalan arvonlisäveromenot";"";40000000;;;;11981000;;63019000;80393632;69715872
26;"SISÄMINISTERIÖN HALLINNONALA";01;"Hallinto";50;"Eräät avustukset";"";10000;;;;;;215000;248000;
26;"SISÄMINISTERIÖN HALLINNONALA";10;"Poliisitoimi";01;"Poliisitoimen toimintamenot";"";-10000;;;;-895000;1700000;729491000;736316000;731422000
26;"SISÄMINISTERIÖN HALLINNONALA";10;"Poliisitoimi";02;"Suojelupoliisin toimintamenot";"";170000;;;;-80000;;23919000;;
26;"SISÄMINISTERIÖN HALLINNONALA";10;"Poliisitoimi";20;"Maasta poistamis- ja noutokuljetuksista aiheutuvat menot";"";-9000000;;;;;;22000000;7470737;3618815
26;"SISÄMINISTERIÖN HALLINNONALA";10;"Poliisitoimi";21;"KEJO-hankkeen yhteiset toimintamenot";"";0;;;;;;12922000;0;7000000
26;"SISÄMINISTERIÖN HALLINNONALA";20;"Rajavartiolaitos";70;"Ilma- ja vartioalusten hankinta";"";-4964000;;;;;;15960000;30387000;750000
26;"SISÄMINISTERIÖN HALLINNONALA";40;"Maahanmuutto";21;"Pakolaisten ja turvapaikanhakijoiden vastaanotto";"";110000000;;;;130442000;;290327000;124910232;43984404
