Osaston numero;Osaston nimi;Tuloluvun numero;Tuloluvun nimi;Tulomomentin numero;Tulomomentin nimi;Tulomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
12;"SEKALAISET TULOT";24;"Ulkoasiainministeriön hallinnonala";99;"Ulkoasiainministeriön hallinnonalan tulot";"";-5300000;;;;;;42527000;50442915;9379100
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";10;"Tuomioistuintulot";"";-7500000;;;;;;46400000;32511257;33455279
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";20;"Ulosottomaksut";"";2500000;;;;;;71500000;78564833;78477235
12;"SEKALAISET TULOT";27;"Puolustusministeriön hallinnonala";99;"Puolustusministeriön hallinnonalan muut tulot";"";1280000;;;;;;5200000;4728637;5063201
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";02;"Maaseudun kehittämiseen saatavat tulot EU:lta";"";65000000;;;;;;325000000;401548943;71974106
12;"SEKALAISET TULOT";31;"Liikenne- ja viestintäministeriön hallinnonala";10;"Liikenneviraston tulot";"";5549000;;;;;;136194000;17733922;49814135
12;"SEKALAISET TULOT";39;"Muut sekalaiset tulot";01;"Sakkotulot ja tulot hallinnollisista maksuseuraamuksista";"";-69000000;;;;;;188000000;72938660;133326125
