Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";10;"Maaseudun kehittäminen";44;"Maatalouden toimintaedellytysten turvaaminen";"";35000000;;;;;;;20000000;20000000
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";10;"Maaseudun kehittäminen";64;"EU:n ja valtion rahoitusosuus alueelliseen ja paikalliseen maaseudun kehittämiseen";"";-34000000;;;;;;82630000;391010;365494
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";20;"Maa- ja elintarviketalous";03;"Maaseutuviraston toimintamenot";"";1400000;;;;889000;;23961000;25307000;27021000
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";20;"Maa- ja elintarviketalous";46;"EU:n osarahoittama ruokaketjun kehittäminen";"";900000;;;;;;3405000;3605000;6605000
