Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";20;"Ympäristövahinkojen torjunta";"";0;;;;520000;;5900000;4767595;10893038
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";22;"Eräät ympäristömenot";"";0;;;;;;15825000;13760000;17160000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";61;"Vesien- ja ympäristönhoidon edistäminen";"";0;;;;0;;11072000;10242000;12342000
