Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
25;"OIKEUSMINISTERIÖN HALLINNONALA";01;"Ministeriö ja hallinto";01;"Oikeusministeriön toimintamenot";"";-6000;;;;-174000;;21608000;22675000;27661000
25;"OIKEUSMINISTERIÖN HALLINNONALA";01;"Ministeriö ja hallinto";05;"Oikeusrekisterikeskuksen toimintamenot";"";250000;;;;-40000;139000;6941000;3459000;
25;"OIKEUSMINISTERIÖN HALLINNONALA";01;"Ministeriö ja hallinto";21;"Oikeusministeriön hallinnonalan tuottavuusmääräraha";"";-60000;;;;;;295000;295000;251000
25;"OIKEUSMINISTERIÖN HALLINNONALA";01;"Ministeriö ja hallinto";50;"Avustukset";"";6000;;;;18000;-284000;6444000;4397245;4237607
25;"OIKEUSMINISTERIÖN HALLINNONALA";01;"Ministeriö ja hallinto";51;"Eräät valtion maksamat korvaukset";"";1500000;;;;;;18070000;18762107;17566829
25;"OIKEUSMINISTERIÖN HALLINNONALA";10;"Tuomioistuimet ja oikeusapu";03;"Muiden tuomioistuinten toimintamenot";"";-100000;;;;-1526000;;262764000;247976000;260048000
25;"OIKEUSMINISTERIÖN HALLINNONALA";10;"Tuomioistuimet ja oikeusapu";04;"Oikeusaputoimistojen ja kuluttajariitalautakunnan toimintamenot";"";-25000;;;;1109000;;60765000;60076000;38845682
25;"OIKEUSMINISTERIÖN HALLINNONALA";10;"Tuomioistuimet ja oikeusapu";50;"Yksityisille oikeusavustajille maksettavat korvaukset";"";0;;;;4300000;;70800000;65109777;60456245
25;"OIKEUSMINISTERIÖN HALLINNONALA";20;"Maksuhäiriöt, ulosotto ja konkurssivalvonta";01;"Ulosottolaitoksen ja konkurssivalvonnan toimintamenot";"";-45000;;;;-777000;;110922000;103723000;105377000
25;"OIKEUSMINISTERIÖN HALLINNONALA";30;"Syyttäjät";01;"Syyttäjälaitoksen toimintamenot";"";-20000;;;;-282000;;46992000;46223000;45923000
