P‰‰luokan numero;P‰‰luokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;M‰‰r‰raha;Aiemmin budjetoitu V lis‰talousarvio 2014;Aiemmin budjetoitu IV lis‰talousarvio 2014;Aiemmin budjetoitu III lis‰talousarvio 2014;Aiemmin budjetoitu II lis‰talousarvio 2014;Aiemmin budjetoitu I lis‰talousarvio 2014;Aiemmin budjetoitu 2014;Toteutuma 2013;Toteutuma 2012
27;"PUOLUSTUSMINISTERI÷N HALLINNONALA";10;"Sotilaallinen maanpuolustus";01;"Puolustusvoimien toimintamenot";"";5540000;;;;;293000;1857426000;1784193000;1740494000
27;"PUOLUSTUSMINISTERI÷N HALLINNONALA";10;"Sotilaallinen maanpuolustus";18;"Puolustusmateriaalihankinnat";"";-35046000;;;;;-7750000;470357000;656871000;641996025
