"Julkisyhteisöjen menot tehtävittäin 1990-2014"

"Sektori";"Tehtävä";"Taloustoimi";"Tiedot";"2014"
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";6188
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"P3K Kulutusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"NETEXP Nettomenot";"Käypiin hintoihin";6188
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"TOTEXP Kokonaismenot";"Käypiin hintoihin";6188
"S1311 Valtionhallinto";"G0706  Terveydenhuolto, muualla luokittelematon";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";267
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";213
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";54
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"P2K Välituotekäyttö";"Käypiin hintoihin";257
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";27
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";26
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";805
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";576
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";48
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";32
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";104
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";102
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"P3K Kulutusmenot";"Käypiin hintoihin";548
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"NETEXP Nettomenot";"Käypiin hintoihin";1487
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";1242
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"TOTEXP Kokonaismenot";"Käypiin hintoihin";1534
"S1311 Valtionhallinto";"G08  Vapaa-aika, kulttuuri ja uskonto";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";1289
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"P2K Välituotekäyttö";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";6
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";168
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";136
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";11
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";3
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"P3K Kulutusmenot";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"NETEXP Nettomenot";"Käypiin hintoihin";186
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";146
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"TOTEXP Kokonaismenot";"Käypiin hintoihin";186
"S1311 Valtionhallinto";"G0801  Virkistys- ja urheilupalvelut (Y)";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";146
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";32
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";26
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";6
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"P2K Välituotekäyttö";"Käypiin hintoihin";33
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";19
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";26
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";426
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";248
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";34
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";26
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";4
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";2
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"P3K Kulutusmenot";"Käypiin hintoihin";56
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"NETEXP Nettomenot";"Käypiin hintoihin";562
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";376
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"TOTEXP Kokonaismenot";"Käypiin hintoihin";574
"S1311 Valtionhallinto";"G0802  Kulttuuripalvelut (Y)";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";388
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";234
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";186
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";48
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"P2K Välituotekäyttö";"Käypiin hintoihin";221
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";9
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";9
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";99
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";99
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"P3K Kulutusmenot";"Käypiin hintoihin";484
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"NETEXP Nettomenot";"Käypiin hintoihin";531
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";531
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"TOTEXP Kokonaismenot";"Käypiin hintoihin";565
"S1311 Valtionhallinto";"G0803  Radio, televisio- ja julkaisutoiminta";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";565
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"P2K Välituotekäyttö";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";201
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";182
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";2
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";2
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"P3K Kulutusmenot";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"NETEXP Nettomenot";"Käypiin hintoihin";205
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";186
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"TOTEXP Kokonaismenot";"Käypiin hintoihin";205
"S1311 Valtionhallinto";"G0804  Uskonnollisten ja aatteellisten yhteisöjen tukeminen";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";186
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"P2K Välituotekäyttö";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";1
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"P3K Kulutusmenot";"Käypiin hintoihin";6
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"NETEXP Nettomenot";"Käypiin hintoihin";3
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";3
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"TOTEXP Kokonaismenot";"Käypiin hintoihin";4
"S1311 Valtionhallinto";"G0805  Vapaa-ajan, kulttuurin ja uskonnon tutkimus ja kehittäminen";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";4
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"P2K Välituotekäyttö";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"P3K Kulutusmenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"NETEXP Nettomenot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"G0806  Vapaa-aika, kulttuuri ja uskonto, muualla luokittelematon";"TOTEXP Kokonaismenot";"Käypiin hintoihin";.
