"Julkisyhteisöjen menot tehtävittäin 1990-2014"

"Sektori";"Tehtävä";"Taloustoimi";"Tiedot";"2014"
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";697
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";575
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";122
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"P2K Välituotekäyttö";"Käypiin hintoihin";491
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";81
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
