"Julkisyhteisöjen kokonaistulot ja -menot 1975-2015"

"Sektori";"Taloustoimi";"Tiedot";"2014"
"S1311 Valtionhallinto";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";786
"S1311 Valtionhallinto";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";611
"S1311 Valtionhallinto";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";4036
"S1311 Valtionhallinto";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";-79
"S1311 Valtionhallinto";"TOTEXP Kokonaismenot";"Käypiin hintoihin";58656
"S1311 Valtionhallinto";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"B9T Nettoluotonanto (+) / nettoluotonotto (-)";"Käypiin hintoihin";-7659
"S1313 Paikallishallinto";"P11R Markkinatuotos";"Käypiin hintoihin";8482
"S1313 Paikallishallinto";"P12R Tuotos omaan loppukäyttöön";"Käypiin hintoihin";256
"S1313 Paikallishallinto";"P131R Markkinattomien tuotteiden myynnit";"Käypiin hintoihin";2105
"S1313 Paikallishallinto";"D2R Saadut tuotannon ja tuonnin verot";"Käypiin hintoihin";1
"S1313 Paikallishallinto";"D4R Omaisuustulot";"Käypiin hintoihin";1145
"S1313 Paikallishallinto";"D4SR Omaisuustulot, sulautettu";"Käypiin hintoihin";1140
"S1313 Paikallishallinto";"D411RJ Julkisyhteisöjen väliset korot, saadut";"Käypiin hintoihin";5
"S1313 Paikallishallinto";"D5R Saadut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";21158
"S1313 Paikallishallinto";"D61R Saadut sosiaaliturvamaksut";"Käypiin hintoihin";15
"S1313 Paikallishallinto";"D7R Saadut muut tulonsiirrot";"Käypiin hintoihin";14029
"S1313 Paikallishallinto";"D7SR Saadut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";99
"S1313 Paikallishallinto";"D9R Saadut pääomansiirrot";"Käypiin hintoihin";180
"S1313 Paikallishallinto";"D9SR Saadut pääomansiirrot, sulautettu";"Käypiin hintoihin";6
"S1313 Paikallishallinto";"TOTREV Kokonaistulot";"Käypiin hintoihin";47371
"S1313 Paikallishallinto";"TOTREVS Kokonaistulot, sulautettu";"Käypiin hintoihin";.
"S1313 Paikallishallinto";"P2K Välituotekäyttö";"Käypiin hintoihin";16490
"S1313 Paikallishallinto";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";21654
"S1313 Paikallishallinto";"D29K Muut tuotantoverot";"Käypiin hintoihin";6
"S1313 Paikallishallinto";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";407
"S1313 Paikallishallinto";"D4K Omaisuusmenot";"Käypiin hintoihin";130
"S1313 Paikallishallinto";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";114
"S1313 Paikallishallinto";"D411KJ Julkisyhteisöjen väliset korot, maksetut";"Käypiin hintoihin";16
"S1313 Paikallishallinto";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";3
"S1313 Paikallishallinto";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";1273
"S1313 Paikallishallinto";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";2986
"S1313 Paikallishallinto";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";1283
"S1313 Paikallishallinto";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";401
"S1313 Paikallishallinto";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";42
"S1313 Paikallishallinto";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";42
"S1313 Paikallishallinto";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";4653
"S1313 Paikallishallinto";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";17
"S1313 Paikallishallinto";"TOTEXP Kokonaismenot";"Käypiin hintoihin";48944
"S1313 Paikallishallinto";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";.
"S1313 Paikallishallinto";"B9T Nettoluotonanto (+) / nettoluotonotto (-)";"Käypiin hintoihin";-1573
"S13141 Työeläkelaitokset";"P11R Markkinatuotos";"Käypiin hintoihin";944
"S13141 Työeläkelaitokset";"P12R Tuotos omaan loppukäyttöön";"Käypiin hintoihin";17
"S13141 Työeläkelaitokset";"P131R Markkinattomien tuotteiden myynnit";"Käypiin hintoihin";0
"S13141 Työeläkelaitokset";"D2R Saadut tuotannon ja tuonnin verot";"Käypiin hintoihin";.
"S13141 Työeläkelaitokset";"D4R Omaisuustulot";"Käypiin hintoihin";3452
"S13141 Työeläkelaitokset";"D4SR Omaisuustulot, sulautettu";"Käypiin hintoihin";3373
"S13141 Työeläkelaitokset";"D411RJ Julkisyhteisöjen väliset korot, saadut";"Käypiin hintoihin";79
"S13141 Työeläkelaitokset";"D5R Saadut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S13141 Työeläkelaitokset";"D61R Saadut sosiaaliturvamaksut";"Käypiin hintoihin";20390
"S13141 Työeläkelaitokset";"D7R Saadut muut tulonsiirrot";"Käypiin hintoihin";2021
"S13141 Työeläkelaitokset";"D7SR Saadut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";0
"S13141 Työeläkelaitokset";"D9R Saadut pääomansiirrot";"Käypiin hintoihin";17
"S13141 Työeläkelaitokset";"D9SR Saadut pääomansiirrot, sulautettu";"Käypiin hintoihin";0
"S13141 Työeläkelaitokset";"TOTREV Kokonaistulot";"Käypiin hintoihin";26841
"S13141 Työeläkelaitokset";"TOTREVS Kokonaistulot, sulautettu";"Käypiin hintoihin";.
"S13141 Työeläkelaitokset";"P2K Välituotekäyttö";"Käypiin hintoihin";962
"S13141 Työeläkelaitokset";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";250
"S13141 Työeläkelaitokset";"D29K Muut tuotantoverot";"Käypiin hintoihin";0
"S13141 Työeläkelaitokset";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S13141 Työeläkelaitokset";"D4K Omaisuusmenot";"Käypiin hintoihin";40
"S13141 Työeläkelaitokset";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";40
"S13141 Työeläkelaitokset";"D411KJ Julkisyhteisöjen väliset korot, maksetut";"Käypiin hintoihin";0
"S13141 Työeläkelaitokset";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";18
